ID,TITULO,AUTOR,GENERO,ANIO_PUB,PAIS,ANIO_LEC
1,Cien Años de Soledad,Gabriel García Márquez,Narrativo,1967,Colombia,2013
2,Historia de Rusia en el siglo XX,Robert Service,Expositivo,1997,Reino Unido,2020
3,Nietzsche,Toni Llácer,Expositivo,2015,España,2016
4,Ficciones,Jorge Luis Borges,Narrativo,1956,Argentina,2020
5,El libro de arena,Jorge Luis Borges,Narrativo,1975,Argentina,2020
7,Platón,E. A. Dal Maschio,Expositivo,2015,España,2016
8,La llamada de la tribu,Mario Vargas Llosa,Expositivo,2018,Perú,2018
9,Sartre,J. L. Rodríguez García,Expositivo,2015,España,2019
10,Kierkergaard,Joan Solé,Expositivo,2015,España,2018
11,Kant,Joan Solé,Expositivo,2015,España,2019
12,Ortega y Gasset,Carlos Javier González Serrano,Expositivo,2015,España,2020
13,Historia de la corrupción en el Perú,Alfonso W. Quiroz,Expositivo,2013,Perú,2019
14,Brevísima Historia del Tiempo,Stephen Hawking,Expositivo,2005,Reino Unido,2018
15,Eugenia Grandet,Honore de Balzac,Narrativo,1833,Francia,2020
17,Rojo y negro,Stendhal,Narrativo,1830,Francia,2020
18,El existencialismo es un humanismo,Jean-Paul Sartre,Expositivo,1946,Francia,2020
19,1984,George Orwell,Narrativo,1949,Reino Unido,2019
20,Espíritu Letra,José Dellepiane,Narrativo,2017,Perú,2017
21,El Lobo Estepario,Hermann Hesse,Narrativo,1927,Alemania,2019
22,Así habló Zaratustra,Friedrich Nietzsche,Narrativo,1885,Alemania,2018
23,La metamorfosis,Franz Kafka,Narrativo,1915,Alemania,2018
24,Fahrenheit 451,Ray Bradbury,Narrativo,1953,EEUU,2019
25,Cambio de Palabras,César Hildebrandt,Expositivo,1981,Perú,2018
26,Ética,Aristóteles,Expositivo,-300,Grecia,2020
27,Diálogos,Platón,Narrativo,-380,Grecia,2018
28,Los mejores cuentos de terror,Varios,Narrativo,2016,España,2018
29,El arte de amargarse la vida,Paul Watzlawick,Expositivo,1983,Austria,2018
30,La tía Tula,Miguel de Unamuno,Narrativo,1921,España,2017
31,Los Ríos Profundos,José María Arguedas,Narrativo,1958,Perú,2017
32,Juego de Tronos,George R. R. Martin,Narrativo,1996,EEUU,2017
33,El Túnel,Ernesto Sábato,Narrativo,1948,Argentina,2017
34,La dama número trece,José Carlos Somoza,Narrativo,2003,España,2017
35,Hasta que me orinen los perros,Fernando Ampuero,Narrativo,2008,Perú,2017
36,El amor en los tiempos del cólera,Gabriel García Márquez,Narrativo,1985,Colombia,2017
37,Crimen y Castigo,Fiódor Dostoievski,Narrativo,1866,Rusia,2018
38,Mitos de Cthulhu,H. P. Lovecraft,Narrativo,1928,EEUU,2018
39,El extraño caso del Dr. Jekyll y  el Sr. Hyle,Robert L. Stevenson,Narrativo,1886,Reino Unido,2018
40,Mujercitas,Louisa May Alcott,Narrativo,1868,EEUU,2020
41,Cianuro Espumoso,Agatha Christie,Narrativo,1944,Reino Unido,2020
42,La palabra del mudo,Julio Ramón Ribeyro,Narrativo,1973,Perú,2020
43,Todo sobre el mundo de las inversiones,Adela Lerner Geller,Expositivo,2005,Perú,2020
44,Cómo analizar el mercado,Deborah Owen y Robin Griffiths,Expositivo,2008,Reino Unido,2020
45,Los 7 hábitos de las personas altamente efectivas,Stephen Covey,Expositivo,1989,EEUU,2020
46,8 lecciones de liderazgo militar para emprendedores,Robert T. Kiyosaki,Expositivo,2015,EEUU,2020
47,Love Story,Erich Segal,Narrativo,1970,EEUU,2020
48,The Hobbit,J. R. R. Tolkien,Narrativo,1937,Reino Unido,2020
49,Por la vida de mi hermana,Jodi Picoult,Narrativo,2004,EEUU,2013
50,La naranja mecánica,Anthony Burgess,Narrativo,1962,Reino Unido,2013
51,Once minutos,Paulo Cohelo,Narrativo,2003,Brasil,2013
52,El alquimista,Paulo Cohelo,Narrativo,1988,Brasil,2014
53,Los ojos de mi princesa,Carlos Cuauhtémoc Sánchez,Narrativo,2004,México,2012
54,Si mi amor fuera cometa,Max Palacios,Narrativo,2012,Perú,2013
55,La distancia que nos separa,Renato Cisneros,Narrativo,2015,Perú,2017
56,La Cuarta Espada,Santiago Roncagliolo,Expositivo,2007,Perú,2020
57,El Extranjero,Albert Camus,Narrativo,1942,Francia,2017
58,Fuente Ovejuna,Lope de Vega,Dramático,1619,España,2021
59,El misterio del capital,Hernando de Soto,Expositivo,2000,Perú,2021
60,Marx,José Manuel Bermudo,Expositivo,2015,España,2021
61,Constitución Política del Perú,Asamblea Constituyente,Expositivo,1993,Perú,2021
62,Presidentes. Los sueños de un país desde 1821,Caretas,Expositivo,2001,Perú,2021
63,Conversación en La Catedral,Mario Vargas Llosa,Narrativo,1969,Perú,2021
64,Aristóteles,P. Ruiz Trujillo,Expositivo,2015,España,2021
65,Sendero,Gustavo Gorriti,Expositivo,2021,Perú,2021
